"","rok","woj","plec","internet_godz","samotnosc"
"1","2003",2,1,11.5542161776192,1.85722546839794
"2","2003",2,2,6.60032165014163,1.76166426470854
"3","2003",4,1,5.56018859710319,1.85637947056348
"4","2003",4,2,3.20205885644882,1.80207732149569
"5","2003",6,1,8.74036423808428,1.79728839619869
"6","2003",6,2,7.58440556626677,1.74061287641423
"7","2003",8,1,8.44753450906301,1.84349048956396
"8","2003",8,2,6.55371955777463,1.75648898576264
"9","2003",10,1,10.850448563438,1.8799572245035
"10","2003",10,2,6.4173053385593,1.76532974029334
"11","2003",12,1,8.77950145974778,1.84105144328365
"12","2003",12,2,5.22948573701489,1.85288108491448
"13","2003",14,1,7.87408854308579,1.84398348287392
"14","2003",14,2,5.93026731589906,1.78576613387858
"15","2003",16,1,9.4685015341838,1.8150452175865
"16","2003",16,2,5.53032829640587,1.79860128399598
"17","2003",18,1,10.2398113362925,1.79624649195967
"18","2003",18,2,4.62080239261193,1.74229885850473
"19","2003",20,1,13.5298895018227,1.80229086287723
"20","2003",20,2,9.08313944754394,1.71276851452067
"21","2003",22,1,6.84525141492931,1.87482531022196
"22","2003",22,2,5.40510912108303,1.80238900644996
"23","2003",24,1,8.59111902871555,1.85792867390163
"24","2003",24,2,7.33084536933333,1.79705576630811
"25","2003",26,1,3.72658049691788,1.86371877297338
"26","2003",26,2,3.88630252245034,1.76265353826749
"27","2003",28,1,4.83636351543217,1.79872533426609
"28","2003",28,2,5.51530148388655,NA
"29","2003",30,1,7.38538951639021,1.8701324369133
"30","2003",30,2,5.33139845485276,1.80341091423966
"31","2003",32,1,8.42139533136482,1.86003728607615
"32","2003",32,2,6.13160148702406,1.80142207155877
"33","2005",2,1,14.0475795751877,1.8315129594247
"34","2005",2,2,7.51166127807762,1.74671409796013
"35","2005",4,1,12.9563122051812,1.77231164409609
"36","2005",4,2,10.2463863430509,1.75537651212957
"37","2005",6,1,9.69497173836429,1.79275971328379
"38","2005",6,2,5.54252026976604,1.6893083802587
"39","2005",8,1,9.41358908803911,1.87632239386356
"40","2005",8,2,7.15794486200049,1.73843150069384
"41","2005",10,1,12.1165839971318,1.78589911090252
"42","2005",10,2,7.26146863477512,1.73955800846821
"43","2005",12,1,10.4885294866537,1.86251921456821
"44","2005",12,2,5.77318570908062,1.76220328019748
"45","2005",14,1,10.2880450824224,1.81957064942258
"46","2005",14,2,8.14500825239548,1.71847080455334
"47","2005",16,1,12.5921425935053,1.82024083739736
"48","2005",16,2,7.26526861937043,1.72973513621943
"49","2005",18,1,10.8325961387584,1.8473279424863
"50","2005",18,2,7.84048313001882,1.79269159829939
"51","2005",20,1,13.0885970889668,1.83321636477075
"52","2005",20,2,9.50796322661173,1.74856404961523
"53","2005",22,1,10.9564867240789,1.85617285829692
"54","2005",22,2,8.67595644939278,1.77791515621144
"55","2005",24,1,12.1905960620222,1.82020943421014
"56","2005",24,2,10.7212015768019,1.70835660413969
"57","2005",26,1,8.46483080913949,1.78860028458216
"58","2005",26,2,5.97480985452252,1.70480866946473
"59","2005",28,1,8.20508852128576,1.79808883081819
"60","2005",28,2,NA,NA
"61","2005",30,1,9.5891993231097,1.8404102606989
"62","2005",30,2,7.9868708372224,1.77390183736618
"63","2005",32,1,14.1761368380837,1.86167926475114
"64","2005",32,2,7.11778749828548,1.78512234808069
"65","2005",NA,1,5,2
"66","2005",NA,2,3,1.7135387828557
"67","2007",2,1,13.5567017966947,1.86511352538001
"68","2007",2,2,8.91951111476663,1.76570434931963
"69","2007",4,1,14.2160374768868,1.84579322629945
"70","2007",4,2,10.0810256808402,1.78258004107734
"71","2007",6,1,11.1375267391373,1.84180764064761
"72","2007",6,2,7.27960710811078,1.70897621615556
"73","2007",8,1,12.3259294911088,1.83603999419671
"74","2007",8,2,8.63496563259524,1.75172792598396
"75","2007",10,1,12.9038622554713,1.80066141983832
"76","2007",10,2,9.25062809005624,1.75075233916409
"77","2007",12,1,12.8370248228117,1.83813608716702
"78","2007",12,2,8.65952348187878,1.75854088752991
"79","2007",14,1,14.2419065981556,1.82830862047732
"80","2007",14,2,10.4074519401367,1.71243649021626
"81","2007",16,1,12.048029356143,1.85187826220058
"82","2007",16,2,8.96230173450348,1.75515519961352
"83","2007",18,1,11.0894367120283,1.84009300278631
"84","2007",18,2,8.65741072399105,1.74000966668431
"85","2007",20,1,13.8873109658333,1.78455247911263
"86","2007",20,2,9.74505886246321,1.78987661710475
"87","2007",22,1,13.0983895110154,1.87520089206913
"88","2007",22,2,8.0335374007434,1.77700307719811
"89","2007",24,1,13.4781000616979,1.82845271116519
"90","2007",24,2,9.0935561642434,1.77381963354955
"91","2007",26,1,11.7795200830477,1.77403317743336
"92","2007",26,2,7.01801736401985,1.72713715830781
"93","2007",28,1,9.82204356426972,1.79015241170576
"94","2007",28,2,NA,NA
"95","2007",30,1,11.922787726628,1.85545358335812
"96","2007",30,2,10.0314920263935,1.80087081895038
"97","2007",32,1,11.0301255739402,1.84753216335425
"98","2007",32,2,10.1830373784746,1.77790786859661
"99","2007",NA,1,10,2
"100","2007",NA,2,14,2
"101","2009",2,1,12.7749388911246,1.86084851982034
"102","2009",2,2,10.5378014386435,1.73757634249965
"103","2009",4,1,13.7819750174382,1.81618102258526
"104","2009",4,2,9.96272175066174,1.73622793439294
"105","2009",6,1,12.1923654383553,1.81045817562212
"106","2009",6,2,9.04445467148707,1.73827373516561
"107","2009",8,1,14.2167754366825,1.79168000337905
"108","2009",8,2,10.3552038473325,1.73250244952567
"109","2009",10,1,11.6912699674767,1.82062978337218
